neighbourhood,price,availability_365,minimum_nights,long_term_stays,short_term_stays,reviews_per_month,number_of_reviews_ltm,number_of_reviews_ltm,distance_from_airport,population,house_value,neighbourhood_count,passengers,visitors,airport_code
,mean,mean,mean,mean,mean,mean,mean,sum,mean,mean,first,count,mean,mean,first
Allston,131.82,191.63,48.9,0.73,0.27,1.48,8.63,1787,6.51,24904.0,959104.18,207,16940423,1292000,BOS
Back Bay,243.53,197.03,24.97,0.58,0.42,1.56,10.96,3758,4.06,18190.0,3806782.88,343,16940423,1292000,BOS
Bay Village,348.24,226.08,11.32,0.24,0.76,1.37,8.31,831,3.39,0.0,1864890.78,100,16940423,1292000,BOS
Beacon Hill,148.19,131.54,29.64,0.74,0.26,1.57,10.2,2356,3.22,9336.0,4228172.77,231,16940423,1292000,BOS
Brighton,150.06,179.87,35.93,0.64,0.36,1.48,9.02,2868,7.56,52047.0,964187.81,318,16940423,1292000,BOS
Charlestown,277.88,166.8,25.4,0.48,0.52,1.07,9.57,804,3.22,19120.0,1509910.28,84,16940423,1292000,BOS
Chinatown,526.49,239.51,39.17,0.91,0.09,0.89,5.25,399,2.97,6211.0,0.0,76,16940423,1292000,BOS
Dorchester,141.78,202.39,29.58,0.59,0.41,1.38,10.05,5892,5.13,122191.0,0.0,586,16940423,1292000,BOS
Downtown,253.26,222.2,21.04,0.48,0.52,2.83,20.2,8586,2.94,13768.0,0.0,425,16940423,1292000,BOS
East Boston,162.87,180.47,25.62,0.41,0.59,2.7,23.8,5521,1.67,43066.0,760526.79,232,16940423,1292000,BOS
Fenway,236.43,192.46,27.94,0.51,0.49,1.92,15.7,3972,4.82,37493.0,1151692.0,253,16940423,1292000,BOS
Hyde Park,132.65,220.31,23.69,0.57,0.43,1.11,8.12,625,9.5,34172.0,650743.21,77,16940423,1292000,BOS
Jamaica Plain,214.25,157.53,29.94,0.54,0.46,1.21,10.31,2444,6.36,40015.0,1122450.79,237,16940423,1292000,BOS
Leather District,227.0,215.0,45.83,1.0,0.0,0.56,3.17,19,2.88,0.0,0.0,6,16940423,1292000,BOS
Longwood Medical Area,446.89,170.96,13.7,0.19,0.81,1.0,5.11,138,5.45,0.0,0.0,27,16940423,1292000,BOS
Mattapan,169.43,220.65,16.79,0.37,0.63,1.04,7.35,463,7.33,23840.0,602378.26,63,16940423,1292000,BOS
Mission Hill,114.97,195.29,32.19,0.53,0.47,1.63,12.07,1038,5.59,17518.0,995481.04,86,16940423,1292000,BOS
North End,227.15,198.06,22.79,0.39,0.61,2.09,13.31,1584,2.52,10805.0,1496745.09,119,16940423,1292000,BOS
Roslindale,139.72,172.83,18.79,0.5,0.5,1.25,10.31,1052,8.37,29586.0,809048.75,102,16940423,1292000,BOS
Roxbury,149.31,192.46,30.28,0.53,0.47,1.6,13.17,3858,4.99,54533.0,676053.46,293,16940423,1292000,BOS
South Boston,217.89,158.73,24.06,0.5,0.5,1.54,11.47,2351,2.98,37917.0,1099923.33,205,16940423,1292000,BOS
South Boston Waterfront,279.21,202.43,31.15,0.71,0.29,0.84,3.2,208,2.37,5579.0,0.0,65,16940423,1292000,BOS
South End,242.56,172.44,19.05,0.42,0.58,1.55,9.79,3259,3.79,30904.0,2964690.44,333,16940423,1292000,BOS
West End,223.18,221.88,31.86,0.92,0.08,0.49,3.25,166,3.17,7705.0,0.0,51,16940423,1292000,BOS
West Roxbury,161.49,163.1,22.09,0.37,0.63,1.05,8.48,755,9.76,31561.0,867560.21,89,16940423,1292000,BOS
Athmar Park,129.23,182.83,18.41,0.6,0.4,1.48,11.21,650,21.04,8898.0,463423.32,58,37806962,420000,DEN
Auraria,194.5,179.75,23.0,0.75,0.25,0.6,9.0,36,19.09,705.0,0.0,4,37806962,420000,DEN
Baker,116.31,177.27,17.11,0.53,0.47,1.8,14.98,1993,19.44,4879.0,613668.03,133,37806962,420000,DEN
Barnum,122.34,188.89,17.89,0.58,0.42,1.78,14.39,518,21.45,6111.0,426243.55,36,37806962,420000,DEN
Barnum West,120.0,198.46,19.0,0.62,0.38,1.74,13.67,328,22.0,5376.0,431508.38,24,37806962,420000,DEN
Bear Valley,160.38,208.89,24.33,0.56,0.44,0.73,5.11,46,24.86,8889.0,561839.8,9,37806962,420000,DEN
Belcaro,402.07,192.56,33.94,0.69,0.31,0.63,2.38,38,18.04,4172.0,1815457.6,16,37806962,420000,DEN
Berkeley,168.5,208.41,11.24,0.31,0.69,1.92,15.5,2790,20.34,8112.0,820284.47,180,37806962,420000,DEN
CBD,139.36,210.64,29.26,0.85,0.15,0.92,6.98,1040,18.72,3648.0,0.0,149,37806962,420000,DEN
Capitol Hill,113.55,220.63,25.85,0.68,0.32,1.53,10.03,1454,18.32,14708.0,623139.52,145,37806962,420000,DEN
Chaffee Park,151.78,173.49,10.89,0.31,0.69,2.23,17.69,796,19.0,3874.0,493224.69,45,37806962,420000,DEN
Cheesman Park,158.83,215.11,19.82,0.46,0.54,2.18,18.3,1464,17.71,7971.0,941948.9,80,37806962,420000,DEN
Cherry Creek,236.3,231.07,20.33,0.53,0.47,1.01,8.65,519,17.39,5589.0,1478730.23,60,37806962,420000,DEN
City Park,120.15,256.56,21.84,0.72,0.28,1.21,10.16,508,16.71,2907.0,824478.84,50,37806962,420000,DEN
City Park West,144.94,217.0,17.14,0.5,0.5,1.89,13.14,1748,17.35,4844.0,729790.6,133,37806962,420000,DEN
Civic Center,210.85,296.07,8.1,0.24,0.76,1.43,8.88,364,18.8,1577.0,660971.22,41,37806962,420000,DEN
Clayton,130.58,148.81,10.26,0.3,0.7,2.6,24.09,1277,16.09,4336.0,505622.57,53,37806962,420000,DEN
Cole,166.34,196.35,10.67,0.32,0.68,2.42,19.87,2225,16.81,4651.0,570225.27,112,37806962,420000,DEN
College View - South Platte,216.81,264.44,13.81,0.44,0.56,1.79,12.62,202,22.28,0.0,433869.31,16,37806962,420000,DEN
Congress Park,128.27,185.19,21.96,0.51,0.49,1.89,14.88,1533,16.93,10235.0,936955.0,103,37806962,420000,DEN
Cory - Merrill,229.78,216.8,20.15,0.6,0.4,1.36,8.1,162,18.74,3892.0,1094823.69,20,37806962,420000,DEN
Country Club,197.73,174.54,13.0,0.38,0.62,1.58,12.62,164,18.06,3001.0,1909173.75,13,37806962,420000,DEN
DIA,92.0,243.59,19.85,0.64,0.36,2.13,10.26,400,5.78,1165.0,0.0,39,37806962,420000,DEN
East Colfax,210.58,186.71,15.39,0.49,0.51,1.49,13.12,538,14.13,10191.0,439223.97,41,37806962,420000,DEN
Elyria Swansea,152.83,252.04,24.36,0.68,0.32,1.2,9.72,243,15.94,6401.0,368327.62,25,37806962,420000,DEN
Five Points,180.06,215.56,16.26,0.44,0.56,2.24,18.58,8155,17.76,12712.0,692728.93,439,37806962,420000,DEN
Fort Logan,78.0,194.5,19.67,0.67,0.33,0.7,6.0,36,24.81,8532.0,624219.68,6,37806962,420000,DEN
Gateway - Green Valley Ranch,121.25,238.15,16.95,0.54,0.46,1.85,13.4,2519,6.94,0.0,494682.66,188,37806962,420000,DEN
Globeville,113.19,217.95,22.76,0.76,0.24,1.41,10.05,412,17.58,3687.0,390705.79,41,37806962,420000,DEN
Goldsmith,81.58,219.11,26.74,0.79,0.21,1.44,6.21,118,18.01,5808.0,636739.49,19,37806962,420000,DEN
Hale,101.35,169.31,20.22,0.66,0.34,1.29,9.84,630,16.18,6936.0,778996.91,64,37806962,420000,DEN
Hampden,153.48,208.81,24.12,0.5,0.5,1.1,7.15,186,17.95,17547.0,620043.83,26,37806962,420000,DEN
Hampden South,163.22,210.37,24.14,0.74,0.26,0.66,3.83,134,18.94,14370.0,653277.4,35,37806962,420000,DEN
Harvey Park,132.41,246.24,18.83,0.62,0.38,1.81,12.31,357,23.32,11525.0,494603.96,29,37806962,420000,DEN
Harvey Park South,78.25,184.0,7.6,0.2,0.8,3.39,27.0,135,23.77,8393.0,543270.23,5,37806962,420000,DEN
Highland,207.92,218.06,12.1,0.33,0.67,2.17,20.17,5668,19.17,8429.0,843750.96,281,37806962,420000,DEN
Hilltop,267.2,235.27,19.6,0.27,0.73,1.06,9.0,135,16.29,8190.0,1637970.74,15,37806962,420000,DEN
Indian Creek,80.45,198.64,21.91,0.73,0.27,0.78,1.73,19,16.66,3096.0,427043.59,11,37806962,420000,DEN
Jefferson Park,274.02,201.45,14.64,0.42,0.58,2.15,19.97,2177,19.85,2552.0,705675.67,109,37806962,420000,DEN
Kennedy,60.0,91.0,31.0,1.0,0.0,0.16,1.0,1,17.89,4464.0,0.0,1,37806962,420000,DEN
Lincoln Park,170.05,196.06,14.28,0.45,0.55,2.28,18.6,1600,19.33,6119.0,504487.59,86,37806962,420000,DEN
Lowry Field,175.6,236.9,24.1,0.8,0.2,0.57,2.2,22,15.15,8067.0,854408.58,10,37806962,420000,DEN
Mar Lee,92.14,248.19,23.04,0.69,0.31,1.26,7.0,182,22.68,12452.0,440262.58,26,37806962,420000,DEN
Marston,105.75,189.6,29.4,1.0,0.0,0.45,1.8,9,27.36,11132.0,0.0,5,37806962,420000,DEN
Montbello,97.21,245.3,23.6,0.75,0.25,2.15,14.45,289,9.54,30348.0,435419.28,20,37806962,420000,DEN
Montclair,138.74,188.38,18.88,0.62,0.38,1.33,8.38,218,15.33,5456.0,761598.22,26,37806962,420000,DEN
North Capitol Hill,147.95,190.34,22.08,0.63,0.37,1.77,11.5,713,17.95,5823.0,577676.42,62,37806962,420000,DEN
North Park Hill,157.72,196.04,9.45,0.27,0.73,2.31,19.23,1423,14.91,9382.0,705120.48,74,37806962,420000,DEN
Northeast Park Hill,113.24,164.67,16.47,0.53,0.47,1.85,11.35,681,14.67,7822.0,494189.0,60,37806962,420000,DEN
Overland,124.94,184.53,21.87,0.71,0.29,1.16,9.32,354,20.93,2218.0,545177.33,38,37806962,420000,DEN
Platt Park,140.76,168.56,13.01,0.22,0.78,2.43,23.01,1565,20.14,5393.0,900063.33,68,37806962,420000,DEN
Regis,260.19,174.89,11.04,0.3,0.7,1.91,16.48,890,20.08,3934.0,613768.0,54,37806962,420000,DEN
Rosedale,128.05,199.46,13.38,0.42,0.58,1.73,15.33,368,20.7,2553.0,730980.8,24,37806962,420000,DEN
Ruby Hill,147.18,234.83,12.28,0.38,0.62,2.54,19.0,551,21.51,9820.0,446666.55,29,37806962,420000,DEN
Skyland,212.67,172.5,11.67,0.26,0.74,2.55,20.43,1103,16.26,3106.0,603008.13,54,37806962,420000,DEN
Sloan Lake,186.14,191.63,14.18,0.43,0.57,1.95,16.6,1859,20.49,7238.0,869301.66,112,37806962,420000,DEN
South Park Hill,172.95,179.25,10.94,0.33,0.67,1.95,15.67,815,15.53,8590.0,1015842.08,52,37806962,420000,DEN
Southmoor Park,166.67,238.33,35.83,0.5,0.5,1.22,6.17,37,19.43,3826.0,875730.68,6,37806962,420000,DEN
Speer,140.76,193.44,17.33,0.52,0.48,1.99,16.03,2020,18.96,10954.0,726169.11,126,37806962,420000,DEN
Stapleton,155.29,201.1,17.1,0.51,0.49,1.15,8.63,880,12.37,13948.0,0.0,102,37806962,420000,DEN
Sun Valley,,0.0,30.0,1.0,0.0,0.58,0.0,0,20.17,1448.0,506872.02,1,37806962,420000,DEN
Sunnyside,161.9,165.62,11.92,0.35,0.65,2.0,16.32,2285,18.93,9726.0,694388.02,140,37806962,420000,DEN
Union Station,174.36,233.7,19.42,0.56,0.44,1.57,10.44,2151,18.76,4348.0,841511.19,206,37806962,420000,DEN
University,153.78,186.1,16.79,0.4,0.6,1.77,16.52,694,19.97,9375.0,760727.37,42,37806962,420000,DEN
University Hills,183.34,229.02,22.05,0.65,0.35,1.37,9.68,387,18.9,5327.0,630817.93,40,37806962,420000,DEN
University Park,310.7,226.76,27.0,0.38,0.62,1.59,11.62,244,19.15,7491.0,1383802.24,21,37806962,420000,DEN
Valverde,131.94,191.39,11.89,0.33,0.67,2.57,25.11,452,20.78,3941.0,414725.95,18,37806962,420000,DEN
Villa Park,145.35,155.83,11.21,0.34,0.66,2.3,19.08,1011,21.21,8758.0,438833.61,53,37806962,420000,DEN
Virginia Village,160.23,230.33,12.18,0.36,0.64,1.75,12.42,559,17.78,12844.0,641711.7,45,37806962,420000,DEN
Washington Park,176.4,139.0,12.11,0.32,0.68,2.0,18.95,720,18.8,6905.0,1567353.47,38,37806962,420000,DEN
Washington Park West,148.44,169.01,12.96,0.39,0.61,1.88,14.23,1010,19.45,6393.0,918443.06,71,37806962,420000,DEN
Washington Virginia Vale,126.63,249.13,21.84,0.55,0.45,1.57,9.32,289,16.93,13030.0,587193.54,31,37806962,420000,DEN
Wellshire,131.5,260.83,11.0,0.33,0.67,2.37,18.17,109,19.68,3133.0,1154892.26,6,37806962,420000,DEN
West Colfax,179.72,186.97,15.08,0.45,0.55,1.69,13.21,3236,21.01,9740.0,683670.36,245,37806962,420000,DEN
West Highland,165.44,168.75,14.64,0.44,0.56,1.71,13.74,2116,20.48,8540.0,845049.78,154,37806962,420000,DEN
Westwood,124.96,180.42,17.67,0.58,0.42,1.99,16.82,555,22.04,15486.0,381572.97,33,37806962,420000,DEN
Whittier,161.78,168.62,8.69,0.25,0.75,2.59,22.38,2327,17.06,4831.0,687916.97,104,37806962,420000,DEN
Windsor,123.14,280.93,28.67,0.47,0.53,1.7,8.53,128,15.32,12589.0,430381.78,15,37806962,420000,DEN
Acton,125.0,192.0,4.93,0.07,0.93,0.92,6.86,33696,39.23,22.22,0.0,4914,26193165,4637000,LAX
Adams-Normandie,75.34,242.68,31.47,0.95,0.05,0.78,1.41,4464,8.76,158.12,942823.06,3168,26193165,4637000,LAX
Agoura Hills,300.3,231.6,22.16,0.48,0.52,0.65,4.16,208,25.01,0.0,0.0,50,26193165,4637000,LAX
Agua Dulce,392.28,238.95,9.37,0.16,0.84,0.89,5.26,20200,39.21,20.4,0.0,3838,26193165,4637000,LAX
Alhambra,154.37,194.17,4.56,0.07,0.93,2.22,17.07,12037,18.61,0.0,0.0,705,26193165,4637000,LAX
Alondra Park,158.74,221.95,5.95,0.14,0.86,2.73,22.77,501,5.46,0.0,0.0,22,26193165,4637000,LAX
Altadena,261.87,137.62,7.59,0.09,0.91,1.07,6.95,430591,23.1,95.43,0.0,61962,26193165,4637000,LAX
Angeles Crest,285.5,219.5,2.0,0.0,1.0,0.84,3.0,6,42.26,0.0,0.0,2,26193165,4637000,LAX
Arcadia,190.85,173.32,17.82,0.52,0.48,0.8,3.9,53352,24.69,98.54,0.0,13680,26193165,4637000,LAX
Arleta,71.5,279.2,30.0,1.0,0.0,1.5,6.3,13167,20.87,150.55,806653.07,2090,26193165,4637000,LAX
Arlington Heights,120.74,198.22,37.36,0.8,0.2,0.65,3.34,321,8.7,0.0,1123544.65,96,26193165,4637000,LAX
Artesia,98.6,162.09,7.17,0.13,0.87,1.78,11.78,271,19.72,0.0,0.0,23,26193165,4637000,LAX
Athens,152.38,163.71,3.41,0.06,0.94,1.49,13.53,230,6.2,0.0,0.0,17,26193165,4637000,LAX
Atwater Village,240.35,159.12,22.94,0.71,0.29,1.31,9.27,156465,14.91,106.93,1372440.19,16875,26193165,4637000,LAX
Avalon,504.58,260.55,1.7,0.01,0.99,1.34,13.32,2971,41.32,0.0,0.0,223,26193165,4637000,LAX
Avocado Heights,96.8,177.0,1.71,0.0,1.0,1.73,6.75,9720,24.3,108.67,0.0,1440,26193165,4637000,LAX
Azusa,141.8,206.83,5.65,0.11,0.89,1.5,9.49,111282,31.73,144.8,0.0,11730,26193165,4637000,LAX
Baldwin Hills/Crenshaw,240.29,209.24,29.48,0.78,0.22,0.74,3.78,420,5.97,0.0,0.0,111,26193165,4637000,LAX
Baldwin Park,110.87,206.1,2.79,0.02,0.98,2.2,16.4,2067,27.11,0.0,0.0,126,26193165,4637000,LAX
Bel-Air,2860.55,235.76,27.83,0.67,0.33,0.48,1.39,117,10.8,0.0,0.0,84,26193165,4637000,LAX
Bell,108.44,284.18,1.32,0.0,1.0,2.53,8.5,238,12.96,0.0,0.0,28,26193165,4637000,LAX
Bell Gardens,295.21,267.75,8.44,0.19,0.81,1.19,3.69,59,14.57,0.0,0.0,16,26193165,4637000,LAX
Bellflower,174.03,228.78,8.64,0.24,0.76,1.76,10.35,807,16.56,0.0,0.0,78,26193165,4637000,LAX
Beverly Crest,1489.37,239.61,25.55,0.68,0.32,1.02,4.14,80152,11.48,138.58,3211380.01,19350,26193165,4637000,LAX
Beverly Grove,435.54,220.12,27.8,0.81,0.19,0.66,2.62,1523,9.51,0.0,0.0,582,26193165,4637000,LAX
Beverly Hills,789.42,220.04,11.99,0.26,0.74,1.19,5.71,6170,8.93,0.0,0.0,1081,26193165,4637000,LAX
Beverlywood,383.07,172.08,42.79,0.96,0.04,0.55,0.79,2109,7.17,116.89,2413089.49,2664,26193165,4637000,LAX
Boyle Heights,108.19,190.99,24.88,0.79,0.21,1.14,6.31,332316,13.52,144.77,659821.58,52671,26193165,4637000,LAX
Brentwood,519.69,178.51,30.21,0.84,0.16,0.46,1.44,79856,8.9,122.31,4398115.01,55304,26193165,4637000,LAX
Broadway-Manchester,87.29,157.59,27.45,0.91,0.09,0.43,2.68,59,7.71,0.0,0.0,22,26193165,4637000,LAX
Burbank,238.51,182.03,9.64,0.21,0.79,2.31,17.23,10495,16.64,0.0,0.0,609,26193165,4637000,LAX
Calabasas,312.34,199.57,18.37,0.41,0.59,1.14,5.93,753,20.07,0.0,0.0,127,26193165,4637000,LAX
Canoga Park,135.55,240.31,26.5,0.87,0.13,0.86,3.04,93808,21.26,190.94,842065.53,30832,26193165,4637000,LAX
Carson,136.4,199.76,10.49,0.18,0.82,1.48,8.51,1243,10.97,0.0,0.0,146,26193165,4637000,LAX
Carthay,215.62,218.5,20.14,0.6,0.4,1.69,9.42,132822,8.39,99.86,0.0,14100,26193165,4637000,LAX
Castaic,323.24,251.44,6.56,0.17,0.83,1.79,15.33,131928,38.85,55.62,0.0,8604,26193165,4637000,LAX
Castaic Canyons,261.51,193.15,9.02,0.24,0.76,1.31,6.33,291,37.1,0.0,0.0,46,26193165,4637000,LAX
Central-Alameda,72.75,138.43,25.32,0.82,0.18,0.7,3.89,109,10.32,0.0,0.0,28,26193165,4637000,LAX
Century City,206.41,174.64,23.19,0.75,0.25,1.18,4.94,21182,7.7,114.29,1852912.43,4284,26193165,4637000,LAX
Cerritos,157.44,209.72,16.14,0.48,0.52,1.03,7.66,1110,20.28,95.2,0.0,145,26193165,4637000,LAX
Charter Oak,101.44,112.13,19.33,0.2,0.8,1.98,18.87,566,33.81,16.0,0.0,30,26193165,4637000,LAX
Chatsworth,259.06,219.59,14.07,0.44,0.56,1.39,10.47,295200,24.25,122.79,1063068.86,28200,26193165,4637000,LAX
Chatsworth Reservoir,159.6,245.2,43.0,0.4,0.6,1.6,13.8,69,23.6,0.0,0.0,5,26193165,4637000,LAX
