PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,MONTH
3144,90,0,MQ,Envoy Air,11067,31067,CMI,"Champaign/Urbana, IL",IL,13930,30977,ORD,"Chicago, IL",IL,2024,7
3145,0,0,B6,JetBlue Airways,11292,30325,DEN,"Denver, CO",CO,12953,31703,LGA,"New York, NY",NY,2024,2
3145,0,0,NK,Spirit Air Lines,11057,31057,CLT,"Charlotte, NC",NC,13303,32467,MIA,"Miami, FL",FL,2024,10
3145,0,0,OO,SkyWest Airlines Inc.,14057,34057,PDX,"Portland, OR",OR,12892,32575,LAX,"Los Angeles, CA",CA,2024,3
3145,0,0,OO,SkyWest Airlines Inc.,14057,34057,PDX,"Portland, OR",OR,14771,32457,SFO,"San Francisco, CA",CA,2024,5
3145,0,0,UA,United Air Lines Inc.,10140,30140,ABQ,"Albuquerque, NM",NM,14771,32457,SFO,"San Francisco, CA",CA,2024,6
3145,0,0,UA,United Air Lines Inc.,13487,31650,MSP,"Minneapolis, MN",MN,12266,31453,IAH,"Houston, TX",TX,2024,5
3145,0,0,YV,Mesa Airlines Inc.,14492,34492,RDU,"Raleigh/Durham, NC",NC,12264,30852,IAD,"Washington, DC",VA,2024,4
3145,0,0,YX,Republic Airline,10792,30792,BUF,"Buffalo, NY",NY,12478,31703,JFK,"New York, NY",NY,2024,2
3145,0,0,YX,Republic Airline,14492,34492,RDU,"Raleigh/Durham, NC",NC,12953,31703,LGA,"New York, NY",NY,2024,8
3145,0,0,YX,Republic Airline,15919,31834,XNA,"Fayetteville, AR",AR,12953,31703,LGA,"New York, NY",NY,2024,8
3145,1,0,UA,United Air Lines Inc.,14307,30721,PVD,"Providence, RI",RI,13930,30977,ORD,"Chicago, IL",IL,2024,9
3146,0,0,9E,Endeavor Air Inc.,12397,32397,ITH,"Ithaca/Cortland, NY",NY,12478,31703,JFK,"New York, NY",NY,2024,8
3146,0,0,AA,American Airlines Inc.,10431,30431,AVL,"Asheville, NC",NC,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,9
3146,0,0,C5,CommuteAir LLC dba CommuteAir,14711,34711,SCE,"State College, PA",PA,12264,30852,IAD,"Washington, DC",VA,2024,12
3146,0,0,UA,United Air Lines Inc.,15919,31834,XNA,"Fayetteville, AR",AR,11292,30325,DEN,"Denver, CO",CO,2024,10
3146,5,0,MQ,Envoy Air,11778,31778,FSM,"Fort Smith, AR",AR,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,3
3146,200,0,MQ,Envoy Air,11540,30615,ELP,"El Paso, TX",TX,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,12
3147,0,0,C5,CommuteAir LLC dba CommuteAir,11995,31995,GSO,"Greensboro/High Point, NC",NC,12264,30852,IAD,"Washington, DC",VA,2024,11
3147,0,0,F9,Frontier Airlines Inc.,11433,31295,DTW,"Detroit, MI",MI,11292,30325,DEN,"Denver, CO",CO,2024,3
3147,0,0,OO,SkyWest Airlines Inc.,14698,34236,SBP,"San Luis Obispo, CA",CA,14771,32457,SFO,"San Francisco, CA",CA,2024,6
3147,504,0,UA,United Air Lines Inc.,13931,33667,ORF,"Norfolk, VA",VA,12264,30852,IAD,"Washington, DC",VA,2024,1
3148,0,0,NK,Spirit Air Lines,11433,31295,DTW,"Detroit, MI",MI,12266,31453,IAH,"Houston, TX",TX,2024,1
3148,0,0,OO,SkyWest Airlines Inc.,10874,30647,CAK,"Akron, OH",OH,13930,30977,ORD,"Chicago, IL",IL,2024,1
3148,0,0,YX,Republic Airline,15919,31834,XNA,"Fayetteville, AR",AR,12953,31703,LGA,"New York, NY",NY,2024,10
3148,0,0,ZW,Air Wisconsin Airlines Corp,11775,31775,FSD,"Sioux Falls, SD",SD,13930,30977,ORD,"Chicago, IL",IL,2024,9
3148,1368,0,WN,Southwest Airlines Co.,14730,33044,SDF,"Louisville, KY",KY,10397,30397,ATL,"Atlanta, GA",GA,2024,11
3148,7251,0,WN,Southwest Airlines Co.,11540,30615,ELP,"El Paso, TX",TX,12892,32575,LAX,"Los Angeles, CA",CA,2024,4
3149,0,0,UA,United Air Lines Inc.,13931,33667,ORF,"Norfolk, VA",VA,12266,31453,IAH,"Houston, TX",TX,2024,11
3149,425,0,PT,Piedmont Airlines,15380,35380,TVC,"Traverse City, MI",MI,13930,30977,ORD,"Chicago, IL",IL,2024,11
3149,759,0,UA,United Air Lines Inc.,11057,31057,CLT,"Charlotte, NC",NC,12264,30852,IAD,"Washington, DC",VA,2024,12
3150,0,0,F9,Frontier Airlines Inc.,11193,33105,CVG,"Cincinnati, OH",KY,12953,31703,LGA,"New York, NY",NY,2024,4
3150,0,0,F9,Frontier Airlines Inc.,11433,31295,DTW,"Detroit, MI",MI,10397,30397,ATL,"Atlanta, GA",GA,2024,10
3150,0,0,F9,Frontier Airlines Inc.,11986,31986,GRR,"Grand Rapids, MI",MI,11292,30325,DEN,"Denver, CO",CO,2024,10
3150,0,0,MQ,Envoy Air,11775,31775,FSD,"Sioux Falls, SD",SD,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,1
